ISO3,Country_EN,Country_CN,M49,WB_Population,WB_Inflation,GTA_USHit_Count,F3_RCEP,F3_BRI,F2_Ally,F2_Rival,F5_NME,F5_FTA,F1_FX_Watch,F1_FX_Manip,F5_301,F2_Dist,F5_WTO,WB_TradeGDP,WB_GDP_USD,WB_Remittances
AFG,Afghanistan,阿富汗,004,42647492.0,-6.60118564073726,0,0,1,0,0,0,0,0,0,0,11232,1,,,
ALB,Albania,阿尔巴尼亚,008,2377128.0,2.21587375089999,0,0,1,1,0,1,0,0,0,0,8558,1,79.4546360752224,27046429296.6673,1631157093.65749
DZA,Algeria,阿尔及利亚,012,46814308.0,4.04611455313434,0,0,1,0,0,0,0,0,0,0,7040,1,40.1345741170703,269322281664.773,2446873556.17238
AGO,Angola,安哥拉,024,37885849.0,28.2404948915772,0,0,1,0,0,0,0,0,0,0,10971,1,50.8422305562091,100998916781.079,22365933.24854
ARG,Argentina,阿根廷,032,45696159.0,219.883929014578,0,0,0,0,0,0,0,0,0,1,9085,1,27.929760849367,638365455340.04,3891388544.96361
ARM,Armenia,亚美尼亚,051,3033500.0,0.269511978259125,0,0,1,0,0,1,0,0,0,0,9607,1,150.064726588742,25955275380.0321,1297099531.91661
AUS,Australia,澳大利亚,036,27196812.0,3.1616142830575,0,1,0,1,0,0,1,0,0,0,16233,1,47.1453811065195,1757022451652.83,9863824560.84156
AUT,Austria,奥地利,040,9177982.0,2.93791574279383,0,0,1,0,0,0,0,0,0,0,7338,1,108.825777834405,534790720466.822,9186681052.92225
AZE,Azerbaijan,阿塞拜疆,031,10202830.0,2.21217188919901,0,0,1,0,0,1,0,0,0,0,9405,1,82.6898691594703,74315882352.9412,1246543000.0
BGD,Bangladesh,孟加拉国,050,173562364.0,10.4657482763412,0,0,1,0,0,0,0,0,0,0,13026,1,26.7780758040478,450119432068.852,27909910161.7513
BLR,Belarus,白俄罗斯,112,9132629.0,5.78531910427999,0,0,1,0,1,1,0,0,0,0,8013,1,131.91792910245,75961865471.9129,3026506710.94
BEL,Belgium,比利时,056,11858610.0,3.14349136500041,0,0,1,1,0,0,0,0,0,0,6450,1,158.931826338067,671370081636.406,26978889784.1635
BEN,Benin,贝宁,204,14462724.0,1.16093089640415,0,0,1,0,0,0,0,0,0,0,8800,1,40.6398022401523,21482643706.4249,
BOL,Bolivia,玻利维亚,068,12413315.0,5.09976568317427,0,0,1,0,0,0,0,0,0,0,7200,1,46.9778716148403,54881327452.9667,1378279491.18084
BIH,Bosnia & Herzegovina,波黑,070,3164253.0,1.69212733599724,0,0,1,0,0,0,0,0,0,0,8400,1,95.1562957108171,29613572022.8993,3397041184.52267
BRA,Brazil,巴西,076,211998573.0,4.36746407652337,0,0,0,0,0,0,0,0,0,0,7715,1,35.5845239385389,2185821648943.86,15157057925.41
BGR,Bulgaria,保加利亚,100,6441421.0,2.44651943006079,0,0,1,1,0,0,0,0,0,1,8688,1,110.22631455921,113343355779.985,2867190000.0
BFA,Burkina Faso,布基纳法索,854,23548781.0,4.19081721344523,0,0,0,0,0,0,0,0,0,0,7900,1,60.5024222912348,23124729853.0218,
KHM,Cambodia,柬埔寨,116,17638801.0,0.808042016536654,0,1,1,0,0,0,0,0,0,0,14527,1,143.447009703011,46352647037.2406,3403145909.4365
CMR,Cameroon,喀麦隆,120,29123744.0,4.53331349711606,0,0,1,0,0,0,0,0,0,0,9050,1,34.4031785915423,53296694320.2057,
CAN,Canada,加拿大,124,41288599.0,2.38158383281173,0,0,0,1,0,0,1,0,0,0,743,1,65.1499212653783,2243636826633.76,15100040056.533
CHL,Chile,智利,152,19764771.0,4.29763891572524,0,0,0,0,0,0,1,0,0,0,8560,1,63.859857248066,330267137371.592,4904264503.7
CHN,China,中国,156,1408975000.0,0.218128938439177,0,1,1,0,1,1,0,1,0,1,11671,1,37.1984201388065,18743803170827.2,37939513092.34
COL,Colombia,哥伦比亚,170,52886363.0,6.60908593728228,0,0,0,0,0,0,1,0,0,0,4418,1,37.0254687077888,418818154879.271,17125912711.7246
CRI,Costa Rica,哥斯达黎加,188,5129910.0,-0.412853001047069,0,0,0,0,0,0,1,0,0,0,3400,1,71.3310137687617,95350423176.5962,1368856224.9455
CIV,Cote d'Ivoire,科特迪瓦,384,31934230.0,3.45053028131019,0,0,0,0,0,0,0,0,0,0,8600,1,51.2640379409119,87113179149.284,
HRV,Croatia,克罗地亚,191,3866200.0,2.97200477643618,0,0,1,1,0,0,0,0,0,0,8200,1,104.912326073253,92983810328.9088,5353184043.81323
CZE,Czech Republic,捷克,203,10905028.0,2.43531202435314,0,0,1,1,0,0,0,0,0,0,7200,1,131.484981069952,347034062928.479,5803233035.69108
COD,DR Congo,刚果民主共和国,180,109276265.0,,0,0,1,0,0,0,0,0,0,0,10500,1,100.554088317275,70962185790.7094,3706649043.96714
DNK,Denmark,丹麦,208,5976992.0,1.37220049768918,0,0,0,1,0,0,0,0,0,0,6656,1,131.765030975207,424524722037.047,5580172352.5485
DOM,Dominican Republic,多米尼加共和国,214,11427557.0,3.30223338951227,0,0,0,0,0,0,1,0,0,0,2680,1,51.7835143952326,124282245638.568,11899600000.0
ECU,Ecuador,厄瓜多尔,218,18135478.0,1.54732515615369,0,0,0,0,0,0,0,0,0,0,4700,1,57.2031395531255,124676074700.0,7082746358.57009
EGY,Egypt,埃及,818,116538258.0,28.2705899322083,0,0,1,0,0,0,0,0,0,1,9376,1,39.6007520873733,389059911003.566,30092700000.0
SLV,El Salvador,萨尔瓦多,222,6338193.0,0.853782292567288,0,0,0,0,0,0,1,0,0,0,3200,1,84.6596461582312,35364960000.0,8740202335.0899
ETH,Ethiopia,埃塞俄比亚,231,132059767.0,21.0377460577711,0,0,1,0,0,0,0,0,0,0,12055,1,17.4004358583187,149740297952.986,8372232480.88543
FIN,Finland,芬兰,246,5619911.0,1.56568906231616,0,0,0,1,0,0,0,0,0,0,7100,1,83.4601015353507,298696961297.656,2990097389.23165
FRA,France,法国,250,68551653.0,1.99904942291463,0,0,0,1,0,0,0,0,0,0,6670,1,68.1081875443744,3160442622465.08,59649435667.7625
GAB,Gabon,加蓬,266,2538952.0,1.17311998381218,0,0,1,0,0,0,0,0,0,0,9700,1,92.0468055151256,20895684425.6752,
GEO,Georgia,格鲁吉亚,268,3699557.0,1.10971758022096,0,0,1,0,0,1,0,0,0,0,9356,1,103.456471449056,34189423544.9955,3491119401.21
DEU,Germany,德国,276,83516593.0,2.2564981433876,0,0,0,1,0,0,0,1,0,0,6985,1,79.0907305894936,4685592577804.69,128004903800.742
GHA,Ghana,加纳,288,34427414.0,22.8483281157842,0,0,1,0,0,0,0,0,0,0,9330,1,69.7884227390592,82308110386.4641,7102055880.37616
GRC,Greece,希腊,300,10405134.0,2.74149045788606,0,0,1,1,0,0,0,0,0,0,8800,1,89.7765279446168,256238371778.118,7388057634.35324
GTM,Guatemala,危地马拉,320,18406359.0,2.86992752918294,0,0,0,0,0,0,1,0,0,0,3100,1,47.344196760267,113199581158.203,22842108190.0
GIN,Guinea,几内亚,324,14754785.0,8.12313914948596,0,0,1,0,0,0,0,0,0,0,8400,1,97.7778177312748,25008678293.4084,660880000.0
HND,Honduras,洪都拉斯,340,10825703.0,4.60621098127107,0,0,0,0,0,0,1,0,0,0,3300,1,91.1101585856976,37093565854.0437,10441042361.707
HKG,Hong Kong,香港,344,7524100.0,1.72972119105914,0,0,0,0,0,0,0,0,0,0,13100,1,359.506710667464,406863396487.342,2189080366.89179
HUN,Hungary,匈牙利,348,9562065.0,3.70370370370369,0,0,1,1,0,0,0,0,0,0,7800,1,146.504561505902,222722738925.641,3614253047.27275
IND,India,印度,356,1450935791.0,4.95303550973656,0,0,0,0,0,0,0,1,0,1,12507,1,44.6492935069676,3909891533858.08,132961766118.037
IDN,Indonesia,印度尼西亚,360,283487931.0,2.18151273615189,0,1,1,0,0,0,0,0,0,1,16346,1,42.572647301834,1396300098190.97,16757779080.6419
IRN,Iran,伊朗,364,91567738.0,32.455871402917,0,0,1,0,1,0,0,0,0,0,10700,1,52.0621306794348,475252089215.416,
IRQ,Iraq,伊拉克,368,46042015.0,-12.2969837587007,0,0,1,0,0,0,0,0,0,0,10200,0,70.7087434748943,279641257615.385,1244300000.0
IRL,Ireland,爱尔兰,372,5395790.0,2.11344999577317,0,0,0,0,0,0,0,0,0,0,5757,1,246.169874857401,609157459747.205,9917067898.05215
ISR,Israel,以色列,376,9974400.0,3.07480889805025,0,0,0,1,0,0,1,0,0,0,9420,1,54.4520002969727,540379921261.681,14074100000.0
ITA,Italy,意大利,380,58952704.0,0.982373023061417,0,0,1,1,0,0,0,0,0,0,8116,1,62.8237685119526,2380825077243.59,25761347847.7818
JAM,Jamaica,牙买加,388,2839175.0,5.41194447981659,0,0,0,0,0,0,0,0,0,0,2600,1,,22014397089.7689,3663952751.25542
JPN,Japan,日本,392,123975371.0,2.73853681635241,0,1,0,1,0,0,0,1,0,0,10838,1,46.4069516150859,4027597523550.58,38882254368.6401
JOR,Jordan,约旦,400,11552876.0,1.55659611283953,0,0,1,0,0,0,1,0,0,0,9800,1,99.6794477365724,53352289577.4648,6465070422.53521
KAZ,Kazakhstan,哈萨克斯坦,398,20592571.0,8.83943897452672,0,0,1,0,0,1,0,0,0,0,9800,1,57.1613431963924,291480274648.826,2121145237.63498
KEN,Kenya,肯尼亚,404,56432944.0,4.48978854243448,0,0,1,0,0,0,0,0,0,0,12553,1,40.1860139968756,120339557905.932,7655832443.42378
KWT,Kuwait,科威特,414,4897263.0,2.89855072463762,0,0,0,0,0,0,0,0,0,0,10400,1,,160227273053.334,7806195.24183394
KGZ,Kyrgyzstan,吉尔吉斯斯坦,417,7221868.0,,0,0,1,0,0,1,0,0,0,0,10500,1,127.650577802859,17478259659.2625,
LAO,Laos,老挝,418,7769819.0,23.1305695942588,0,1,1,0,0,0,0,0,0,0,14200,1,,16502933121.3379,559655535.048733
LBN,Lebanon,黎巴嫩,422,5805962.0,45.2430422716718,0,0,1,0,0,0,0,0,0,0,9600,1,,,
LBY,Libya,利比亚,434,7381023.0,2.12615766885025,0,0,1,0,0,0,0,0,0,0,8800,0,128.816175842936,48487151215.345,
LTU,Lithuania,立陶宛,440,2888278.0,0.715735835228723,0,0,1,1,0,0,0,0,0,0,7700,1,143.04839086338,84869215513.3648,1875066714.08156
LUX,Luxembourg,卢森堡,442,677012.0,2.05113269954859,0,0,0,1,0,0,0,0,0,0,6500,1,351.267921153192,93279851863.4062,15921059969.0514
MDG,Madagascar,马达加斯加,450,31964956.0,,0,0,0,0,0,0,0,0,0,0,14500,1,54.9795881437152,17420501490.1231,
MWI,Malawi,马拉维,454,21655286.0,32.1796504225025,0,0,0,0,0,0,0,0,0,0,12700,1,,11316411329.4619,649022926.638783
MYS,Malaysia,马来西亚,458,35557673.0,1.834100204499,0,1,1,0,0,0,0,1,0,0,15289,1,137.362571161559,422227005428.688,8507975457.78286
MLI,Mali,马里,466,24478595.0,3.2063986409966,0,0,1,0,0,0,0,0,0,0,7800,1,49.8960414309506,26794747239.8805,
MLT,Malta,马耳他,470,568847.0,1.65079469283109,0,0,1,0,0,0,0,0,0,0,8200,1,218.170552427881,24971574502.4475,1466918698.31009
MRT,Mauritania,毛里塔尼亚,478,5169395.0,2.49164347481972,0,0,1,0,0,0,0,0,0,0,7200,1,93.5988355881472,10908045686.8808,403590355.600824
MUS,Mauritius,毛里求斯,480,1245779.0,3.6045220384796,0,0,0,0,0,0,0,0,0,0,14900,1,145.421700301153,14937861786.17,300143834.539379
MEX,Mexico,墨西哥,484,130861007.0,4.72225588452932,0,0,0,0,0,0,1,1,0,0,3068,1,74.5889079825143,1856365616165.94,65699232154.0
MDA,Moldova,摩尔多瓦,498,2402306.0,4.67773516007052,0,0,1,0,0,1,0,0,0,0,8300,1,88.6661154286831,18200340853.6517,2085827699.79
MNG,Mongolia,蒙古,496,3524788.0,6.20713301510303,0,0,1,0,0,0,0,0,0,0,10700,1,138.448379141249,23794540024.5132,562612456.392123
MAR,Morocco,摩洛哥,504,38081173.0,0.985256592004507,0,0,1,0,0,0,1,0,0,0,6534,1,92.1872446062404,160610994054.734,14513703986.71
MOZ,Mozambique,莫桑比克,508,34631766.0,4.07856834812022,0,0,1,0,0,0,0,0,0,0,13898,1,95.659420351194,22745341305.0622,1320491943.90635
MMR,Myanmar,缅甸,104,54500091.0,,0,1,1,0,0,0,0,0,0,0,14400,1,,74068349523.8095,
NAM,Namibia,纳米比亚,516,3030131.0,4.23903922877036,0,0,1,0,0,0,0,0,0,0,11700,1,109.628509818932,13372354511.716,1868625159.65124
NPL,Nepal,尼泊尔,524,29651054.0,4.6850965426577,0,0,1,0,0,0,0,0,0,0,12100,1,40.5298226771909,42914268286.7109,12060095086.3101
NLD,Netherlands,荷兰,528,17993485.0,3.34754304219953,0,0,0,1,0,0,0,0,0,0,6230,1,153.83065216636,1214927698572.66,18130316435.444
NZL,New Zealand,新西兰,554,5287500.0,2.92279782301957,0,1,0,1,0,0,0,0,0,0,14544,1,51.224397222513,260172385097.616,2159001683.71714
NIC,Nicaragua,尼加拉瓜,558,6916140.0,4.62473841057141,0,0,0,0,0,0,1,0,0,0,3400,1,98.5258377100159,19693982967.5926,5271700000.0
NER,Niger,尼日尔,562,27032412.0,9.07151997725013,0,0,1,0,0,0,0,0,0,0,8000,1,49.9759837351389,19876128485.7857,
NGA,Nigeria,尼日利亚,566,232679478.0,33.2420966545406,0,0,1,0,0,0,0,0,0,0,9521,1,,252261880141.151,24421867960.3666
MKD,North Macedonia,北马其顿,807,1824359.0,3.48974086026947,0,0,0,1,0,0,0,0,0,0,8600,1,136.324876175556,16951682245.4202,2908990107.43231
NOR,Norway,挪威,578,5572279.0,3.14530134431073,0,0,0,1,0,0,0,0,0,0,6473,1,81.3635091827243,483592648313.301,10315533502.3645
OMN,Oman,阿曼,512,5281538.0,0.593589236248469,0,0,1,0,0,0,1,0,0,0,11700,1,114.852671522017,107137198769.386,
PAK,Pakistan,巴基斯坦,586,251269164.0,12.6325318530452,0,0,1,0,0,0,0,0,0,1,11660,1,27.5784683520695,371570000121.266,37385000000.0
PAN,Panama,巴拿马,591,4515577.0,0.693225551004538,0,0,1,0,0,0,1,0,0,0,3500,1,83.6737787798304,86523959131.7472,879734141.22
PRY,Paraguay,巴拉圭,600,6929153.0,3.83540271728533,0,0,0,0,0,0,0,0,0,0,7900,1,76.8311565430624,44458118397.4445,899866057.033411
PER,Peru,秘鲁,604,34217848.0,2.00770739412712,0,0,1,0,0,0,1,0,0,0,5400,1,51.4758878672647,289221969062.941,7942927206.76169
PHL,Philippines,菲律宾,608,115843670.0,3.21260487006347,0,1,1,1,0,0,0,0,0,0,14271,1,65.8854725286968,461617509782.355,32876421102.7446
POL,Poland,波兰,616,36559233.0,3.7842600751287,0,0,1,1,0,0,0,0,0,0,7298,1,100.359442847164,917767106146.761,11947000000.0
PRT,Portugal,葡萄牙,620,10694681.0,2.41613187791884,0,0,1,1,0,0,0,0,0,0,5800,1,89.696408854026,313271185085.102,13697902154.5096
QAT,Qatar,卡塔尔,634,2857822.0,1.26734310292375,0,0,0,0,0,0,0,0,0,0,10900,1,,219162637362.637,4991483516.48351
ROU,Romania,罗马尼亚,642,19051804.0,5.72140574354439,0,0,1,1,0,0,0,0,0,0,8500,1,77.2149837939003,382564217988.866,8893310803.14796
RUS,Russia,俄罗斯,643,143533851.0,8.43486410496723,0,0,1,0,1,1,0,0,0,1,9167,1,39.5081647660396,2173835806671.66,11636740000.0
RWA,Rwanda,卢旺达,646,14256567.0,1.77029240198635,0,0,1,0,0,0,0,0,0,0,11800,1,69.9544135680561,14251642235.0968,848658045.458547
SAU,Saudi Arabia,沙特阿拉伯,682,35300280.0,1.68792112375809,0,0,1,0,0,0,0,0,0,0,10636,1,54.6787052668733,1239804533333.33,
SEN,Senegal,塞内加尔,686,18501984.0,0.804503298792438,0,0,1,0,0,0,0,0,0,0,7700,1,68.1405147656211,32808056600.9436,
SRB,Serbia,塞尔维亚,688,6586476.0,4.6705297488997,0,0,1,0,0,0,0,0,0,0,8400,1,111.725028388916,90097765959.1114,7336013756.12663
SLE,Sierra Leone,塞拉利昂,694,8642022.0,28.6337500014115,0,0,1,0,0,0,0,0,0,0,7700,1,40.5454450452166,6971127235.3123,
SGP,Singapore,新加坡,702,6036860.0,2.38951123595017,0,1,1,0,0,0,1,1,0,0,15345,1,322.371427934716,547386645891.847,29953975104.1484
SVK,Slovakia,斯洛伐克,703,5422069.0,2.75760909424272,0,0,0,1,0,0,0,0,0,0,7500,1,171.212800151635,140934076532.375,1777279731.93177
SVN,Slovenia,斯洛文尼亚,705,2127400.0,1.96562656432512,0,0,0,1,0,0,0,0,0,0,7900,1,155.657928684474,72972015197.3859,2148283249.07159
SOM,Somalia,索马里,706,19009151.0,,0,0,0,0,0,0,0,0,0,0,12800,0,130.325060583271,11967000000.0,
ZAF,South Africa,南非,710,64007187.0,4.36115246518962,0,0,0,0,0,0,0,0,0,0,14366,1,61.646770473025,401144998373.585,4619929669.41098
KOR,South Korea,韩国,410,51751065.0,2.32174328643542,0,1,0,1,0,0,1,1,0,0,11081,1,84.6424951192038,1875388209406.8,10598100000.0
SSD,South Sudan,南苏丹,728,11943408.0,91.4408220769046,0,0,1,0,0,0,0,0,0,0,11800,0,,,
ESP,Spain,西班牙,724,48848840.0,2.77417826534772,0,0,0,1,0,0,0,0,0,0,6070,1,69.9502612382631,1725671652742.19,31312948630.5921
LKA,Sri Lanka,斯里兰卡,144,21916000.0,-0.42936004906973,0,0,1,0,0,0,0,0,0,0,14400,1,42.3975008711047,98963185509.6499,6585209485.66037
SDN,Sudan,苏丹,729,50448963.0,,0,0,1,0,0,0,0,0,0,0,11400,1,1.99541210225008,49672435513.1126,
SWE,Sweden,瑞典,752,10569709.0,2.83581658224034,0,0,0,1,0,0,0,0,0,0,6875,1,105.883091480464,603715224265.798,7371397360.27206
CHE,Switzerland,瑞士,756,9005582.0,1.06234041976595,0,0,1,0,0,0,0,0,0,0,7173,1,134.09514852061,936564198048.516,70707374149.3498
SYR,Syria,叙利亚,760,24672760.0,,0,0,1,0,1,0,0,0,0,0,9900,0,,,
TWN,Taiwan,台湾,158,,,0,0,0,0,0,0,0,1,0,0,12199,1,,,
TJK,Tajikistan,塔吉克斯坦,762,10590927.0,,0,0,1,0,0,1,0,0,0,0,10800,1,,14204575548.5536,2289482735.92322
TZA,Tanzania,坦桑尼亚,834,68560157.0,3.05694676312373,0,0,1,0,0,0,0,0,0,0,13119,1,41.5131207208244,78844405385.2195,1177428153.41258
THA,Thailand,泰国,764,71668011.0,1.36580540798037,0,1,1,1,0,0,0,0,0,1,14117,1,136.747107022451,526517658841.684,15960556139.6357
TGO,Togo,多哥,768,9515236.0,2.86262074089801,0,0,1,0,0,0,0,0,0,0,8600,1,,10651180146.531,
TTO,Trinidad & Tobago,特立尼达和多巴哥,780,1368333.0,0.526884625776839,0,0,0,0,0,0,0,0,0,0,3600,1,,25633544529.4849,413353965.637728
TUN,Tunisia,突尼斯,788,12277109.0,7.20661657168794,0,0,1,0,0,0,0,0,0,0,8100,1,106.298549204247,51332285656.5422,3342586123.533
TUR,Turkey,土耳其,792,85518661.0,58.5064507300343,0,0,1,1,0,0,0,0,0,1,9094,1,54.5988061195916,1359123768774.12,5296000000.0
TKM,Turkmenistan,土库曼斯坦,795,7494498.0,,0,0,1,0,0,0,0,0,0,0,10400,1,28.7346076303052,51387209872.2994,
ARE,UAE,阿联酋,784,10986400.0,1.66336510224894,0,0,1,0,0,0,0,0,0,0,11200,1,,552324846834.581,1824370319.94554
UGA,Uganda,乌干达,800,50015092.0,3.3233806708656,0,0,1,0,0,0,0,0,0,0,12000,1,42.6527889088562,53911907086.1525,2022112498.02411
UKR,Ukraine,乌克兰,804,37860221.0,6.50198464669254,0,0,1,0,0,1,0,0,0,1,9103,1,77.7530113300514,190741262414.705,24367000000.0
GBR,United Kingdom,英国,826,69226000.0,3.2715729463592,0,0,0,1,0,0,1,0,0,0,5914,1,62.8401605267118,3686033044482.13,39316974346.3089
URY,Uruguay,乌拉圭,858,3386588.0,4.84914366613156,0,0,1,0,0,0,0,0,0,0,8600,1,52.4649167856379,80961511073.5797,576356872.469938
UZB,Uzbekistan,乌兹别克斯坦,860,36361859.0,9.62825465956682,0,0,1,0,0,1,0,0,0,0,10500,1,60.7274403812997,114965293466.611,11603906777.8532
VEN,Venezuela,委内瑞拉,862,28405543.0,,0,0,1,0,1,0,0,0,0,1,3900,1,26.0811657596499,119802963257.783,
VNM,Vietnam,越南,704,100987686.0,3.62109273885843,0,1,1,0,0,1,0,1,0,1,13524,1,173.862024782965,476388230307.175,17122000000.0
YEM,Yemen,也门,887,40583164.0,,0,0,1,0,0,0,0,0,0,0,11600,0,,,
ZMB,Zambia,赞比亚,894,21314956.0,14.9856262747939,0,0,1,0,0,0,0,0,0,0,13319,1,62.5348874064443,25303185342.2511,1044790278.3708
ZWE,Zimbabwe,津巴布韦,716,16634373.0,,0,0,1,0,0,0,0,0,0,0,13000,1,41.4865312656314,41539411516.4448,3505713502.21011
